scope,group,endpoint,n_patients,prevalence
scenario,noisy_documentation,Serotonin_syndrome,14000,0.012571428571428572
scenario,noisy_documentation,Rhabdomyolysis,14000,0.013
scenario,noisy_documentation,Lactic_acidosis,14000,0.014857142857142857
scenario,multihospital,AKI,14000,0.134
scenario,multihospital,DILI,14000,0.018714285714285715
scenario,multihospital,Depression,14000,0.08321428571428571
scenario,multihospital,Falls,14000,0.07764285714285714
scenario,multihospital,Delirium,14000,0.03742857142857143
scenario,multihospital,GI_bleeding,14000,0.02457142857142857
scenario,multihospital,Hyponatremia,14000,0.07771428571428571
scenario,multihospital,Hyperkalemia,14000,0.0485
scenario,multihospital,QT_arrhythmia,14000,0.017214285714285713
scenario,multihospital,Hospitalization,14000,0.22421428571428573
scenario,multihospital,Serotonin_syndrome,14000,0.0025
scenario,multihospital,Rhabdomyolysis,14000,0.003142857142857143
scenario,multihospital,Lactic_acidosis,14000,0.004428571428571428
hospital,1,AKI,3564,0.12906846240179573
hospital,1,DILI,3564,0.01936026936026936
hospital,1,Depression,3564,0.08305274971941638
hospital,1,Falls,3564,0.07716049382716049
hospital,1,Delirium,3564,0.03647586980920314
hospital,1,GI_bleeding,3564,0.023849607182940515
hospital,1,Hyponatremia,3564,0.08080808080808081
hospital,1,Hyperkalemia,3564,0.04489337822671156
hospital,1,QT_arrhythmia,3564,0.019079685746352413
hospital,1,Hospitalization,3564,0.21352413019079686
hospital,1,Serotonin_syndrome,3564,0.0025252525252525255
hospital,1,Rhabdomyolysis,3564,0.001964085297418631
hospital,1,Lactic_acidosis,3564,0.004208754208754209
hospital,2,AKI,3496,0.1455949656750572
hospital,2,DILI,3496,0.019736842105263157
hospital,2,Depression,3496,0.07951945080091533
hospital,2,Falls,3496,0.07751716247139588
hospital,2,Delirium,3496,0.03575514874141877
hospital,2,GI_bleeding,3496,0.02316933638443936
hospital,2,Hyponatremia,3496,0.06950800915331808
hospital,2,Hyperkalemia,3496,0.04462242562929062
hospital,2,QT_arrhythmia,3496,0.02030892448512586
hospital,2,Hospitalization,3496,0.23655606407322655
hospital,2,Serotonin_syndrome,3496,0.0008581235697940503
hospital,2,Rhabdomyolysis,3496,0.002574370709382151
hospital,2,Lactic_acidosis,3496,0.005434782608695652
hospital,3,AKI,3402,0.12375073486184597
hospital,3,DILI,3402,0.015873015873015872
hospital,3,Depression,3402,0.0890652557319224
hospital,3,Falls,3402,0.07936507936507936
hospital,3,Delirium,3402,0.03850676072898295
hospital,3,GI_bleeding,3402,0.025279247501469725
hospital,3,Hyponatremia,3402,0.0855379188712522
hospital,3,Hyperkalemia,3402,0.05026455026455026
hospital,3,QT_arrhythmia,3402,0.012933568489124045
hospital,3,Hospitalization,3402,0.21987066431510877
hospital,3,Serotonin_syndrome,3402,0.0029394473838918285
hospital,3,Rhabdomyolysis,3402,0.003527336860670194
hospital,3,Lactic_acidosis,3402,0.005291005291005291
hospital,4,AKI,3538,0.13736574335782928
hospital,4,DILI,3538,0.01978518937252685
hospital,4,Depression,3538,0.08140192198982477
hospital,4,Falls,3538,0.07659694742792539
hospital,4,Delirium,3538,0.03900508762012436
hospital,4,GI_bleeding,3538,0.026003391746749576
hospital,4,Hyponatremia,3538,0.07518371961560204
hospital,4,Hyperkalemia,3538,0.054267947993216506
hospital,4,QT_arrhythmia,3538,0.01639344262295082
hospital,4,Hospitalization,3538,0.22696438665912946
hospital,4,Serotonin_syndrome,3538,0.003674392312040701
hospital,4,Rhabdomyolysis,3538,0.0045223289994347085
hospital,4,Lactic_acidosis,3538,0.002826455624646693
