drug,out_degree,weighted_out_degree,reachable_adr_count,reachable_endpoint_count,reachable_severe_endpoint_count,pagerank,betweenness,katz,harmonic_closeness,reachable_adrs_sample,reachable_endpoints_sample,exposure_rate,mean_adr_burden_if_exposed,any_severe_endpoint_rate_if_exposed
opioid,5,4.8,7,5,2,0.0021308182476835035,0.001707944326770513,0.07676931643382619,63.166666666666764,"confusion_state, cumulative_adr_burden, dizziness, mood_lowering, sedation_state, serotonin_toxicity","Delirium, Depression, Falls, Hospitalization, Serotonin_syndrome",0.17195,0.14429152992979685,0.3547542890375109
hepatotoxic_drug_A,5,4.1,7,3,2,0.0021308182476835035,0.0016837932521992704,0.07676931643382619,63.91666666666676,"alt_ast_rise, bilirubin_rise, cumulative_adr_burden, fatigue_symptom, jaundice, nausea","DILI, Depression, Hospitalization",0.1058,0.14064069673237914,0.3591682419659735
qt_prolonging_drug,4,4.0,3,2,2,0.0021308182476835035,0.0012674651047786861,0.07676931643382619,62.58333333333342,"cumulative_adr_burden, qt_prolongation_state, severe_adr_burden","Hospitalization, QT_arrhythmia",0.13395,0.14751639737641978,0.3613288540500187
antibiotic_hepatic_risk,4,3.7,7,3,2,0.0021308182476835035,0.0018788207581511465,0.07676931643382619,62.500000000000085,"alt_ast_rise, bilirubin_rise, cumulative_adr_burden, fatigue_symptom, jaundice, nausea","DILI, Depression, Hospitalization",0.2063,0.1397283775361817,0.3730004847309743
aminoglycoside,3,3.0,3,2,2,0.0021308182476835035,0.000447086448265576,0.07676931643382619,61.33333333333342,"creatinine_rise, cumulative_adr_burden, severe_adr_burden","AKI, Hospitalization",0.06685,0.14216262421198847,0.36649214659685864
digoxin,3,3.0,4,2,2,0.002857692407895876,0.0006073136325237165,0.07288718209836666,55.566666666666734,"cumulative_adr_burden, digoxin_toxicity, qt_prolongation_state, severe_adr_burden","Hospitalization, QT_arrhythmia",0.09255,0.1378737362043683,0.3419773095623987
lithium,3,3.0,5,4,2,0.0025951416834424637,0.0005984211866564807,0.0730603107969376,57.083333333333385,"confusion_state, creatinine_rise, cumulative_adr_burden, lithium_toxicity, severe_adr_burden","AKI, Delirium, Falls, Hospitalization",0.0531,0.14297551789077215,0.3342749529190207
contrast_agent,3,2.9,3,2,2,0.0021308182476835035,0.000447086448265576,0.07676931643382619,61.33333333333342,"creatinine_rise, cumulative_adr_burden, severe_adr_burden","AKI, Hospitalization",0.1855,0.14607046592221795,0.38140161725067384
diuretic,3,2.9,4,2,2,0.0029416124764365067,0.0014862900084775398,0.08439697735329012,64.50000000000009,"creatinine_rise, cumulative_adr_burden, dehydration, severe_adr_burden","AKI, Hospitalization",0.4444,0.14190995885302818,0.3578982898289829
corticosteroid,3,2.6,4,3,2,0.0021308182476835035,0.0011104325948050001,0.07676931643382619,61.2500000000001,"cumulative_adr_burden, overt_bleeding, severe_adr_burden, sleep_disturbance_symptom","Depression, GI_bleeding, Hospitalization",0.17035,0.14097823808126128,0.3513354857646023
metformin,3,2.25,3,2,2,0.003488447535983042,0.0007735417399282945,0.07691328998363393,57.83333333333339,"cumulative_adr_burden, lactate_accumulation, severe_adr_burden","Hospitalization, Lactic_acidosis",0.2929,0.13993415597717407,0.35728917719358144
triptan,2,2.0,4,3,2,0.001960125502588521,0.0,0.06925147942837688,53.100000000000065,"cumulative_adr_burden, mood_lowering, serotonin_toxicity, severe_adr_burden","Depression, Hospitalization, Serotonin_syndrome",0.0879,0.14083617747440275,0.35665529010238906
beta_blocker,3,1.9,6,4,2,0.0021308182476835035,0.0016822980639534934,0.07676931643382619,61.666666666666764,"creatinine_rise, cumulative_adr_burden, dizziness, fatigue_symptom, hypotension, severe_adr_burden","AKI, Depression, Falls, Hospitalization",0.33045,0.141695955731362,0.35557573006506277
thiazide,2,1.9,6,5,2,0.0021308182476835035,0.0007868688258630796,0.07676931643382619,60.583333333333435,"confusion_state, cumulative_adr_burden, digoxin_toxicity, hyponatremia_state, qt_prolongation_state, severe_adr_burden","Delirium, Falls, Hospitalization, Hyponatremia, QT_arrhythmia",0.19395,0.1403541045188377,0.3601443671049239
ppi,2,1.8,2,2,2,0.0021308182476835035,0.0005671849927338684,0.07676931643382619,60.2500000000001,"cumulative_adr_burden, severe_adr_burden","GI_bleeding, Hospitalization",0.38445,0.1391529643460974,0.3469892053583041
benzodiazepine,4,4.0,5,3,1,0.0021308182476835035,0.0010854731160640084,0.07676931643382619,62.08333333333343,"confusion_state, cumulative_adr_burden, dizziness, sedation_state, severe_adr_burden","Delirium, Falls, Hospitalization",0.19745,0.14735068552617298,0.36768802228412256
anticholinergic,3,2.9,5,3,1,0.0021308182476835035,0.000756856821061159,0.07676931643382619,61.416666666666764,"confusion_state, cumulative_adr_burden, dizziness, sedation_state, severe_adr_burden","Delirium, Falls, Hospitalization",0.1526,0.14124906384572178,0.3473132372214941
herbal_exposure,1,1.0,2,1,1,0.0021308182476835035,1.5449146880375498e-05,0.07676931643382619,59.58333333333343,"cumulative_adr_burden, severe_adr_burden",Hospitalization,0.1517,0.13891515208588381,0.34212261041529335
potassium_supplement,1,1.0,2,1,1,0.003987811479638802,0.00021606438718738184,0.07292585932555129,53.40000000000007,"cumulative_adr_burden, severe_adr_burden",Hospitalization,0.1297,0.1367857142857143,0.3369313801079414
