patient_id,hetionet_id
121,Compound::DB00235
122,Compound::DB00236
123,Compound::DB00237
124,Compound::DB00238
125,Compound::DB00239
126,Compound::DB00240
127,Compound::DB00241
128,Compound::DB00242
129,Compound::DB00243
130,Compound::DB00244
131,Compound::DB00245
132,Compound::DB00246
133,Compound::DB00247
134,Compound::DB00248
135,Compound::DB00249
136,Compound::DB00250
137,Compound::DB00251
138,Compound::DB00252
139,Compound::DB00253
140,Compound::DB00254
141,Compound::DB00255
142,Compound::DB00256
143,Compound::DB00257
144,Compound::DB00258
145,Compound::DB00259
146,Compound::DB00260
147,Compound::DB00261
148,Compound::DB00262
149,Compound::DB00263
150,Compound::DB00264
151,Compound::DB00265
152,Compound::DB00266
153,Compound::DB00267
154,Compound::DB00268
155,Compound::DB00270
156,Compound::DB00271
157,Compound::DB00272
158,Compound::DB00273
159,Compound::DB00274
160,Compound::DB00275
161,Compound::DB00276
162,Compound::DB00277
163,Compound::DB00278
164,Compound::DB00279
165,Compound::DB00280
166,Compound::DB00281
167,Compound::DB00282
168,Compound::DB00283
169,Compound::DB00284
170,Compound::DB00285
171,Compound::DB00286
172,Compound::DB00287
173,Compound::DB00288
174,Compound::DB00289
175,Compound::DB00290
176,Compound::DB00291
177,Compound::DB00292
178,Compound::DB00293
179,Compound::DB00294
180,Compound::DB00295
181,Compound::DB00296
182,Compound::DB00297
183,Compound::DB00298
184,Compound::DB00299
185,Compound::DB00300
186,Compound::DB00301
187,Compound::DB00302
188,Compound::DB00303
189,Compound::DB00304
190,Compound::DB00305
191,Compound::DB00306
192,Compound::DB00307
193,Compound::DB00308
194,Compound::DB00309
195,Compound::DB00310
196,Compound::DB00312
197,Compound::DB00313
198,Compound::DB00314
199,Compound::DB00315
200,Compound::DB00316
201,Compound::DB00317
202,Compound::DB00318
203,Compound::DB00319
204,Compound::DB00320
205,Compound::DB00321
206,Compound::DB00322
207,Compound::DB00323
208,Compound::DB00324
209,Compound::DB00325
210,Compound::DB00326
211,Compound::DB00327
212,Compound::DB00328
213,Compound::DB00330
214,Compound::DB00331
215,Compound::DB00332
216,Compound::DB00333
217,Compound::DB00334
218,Compound::DB00335
219,Compound::DB00336
220,Compound::DB00337
221,Compound::DB00338
222,Compound::DB00339
223,Compound::DB00340
224,Compound::DB00341
225,Compound::DB00343
226,Compound::DB00344
227,Compound::DB00345
228,Compound::DB00346
229,Compound::DB00347
230,Compound::DB00348
231,Compound::DB00349
232,Compound::DB00350
233,Compound::DB00351
234,Compound::DB00352
235,Compound::DB00353
236,Compound::DB00354
237,Compound::DB00355
238,Compound::DB00356
239,Compound::DB00357
240,Compound::DB00358
241,Compound::DB00359
242,Compound::DB00360
243,Compound::DB00361
244,Compound::DB00362
245,Compound::DB00363
246,Compound::DB00364
247,Compound::DB00366
248,Compound::DB00367
249,Compound::DB00368
250,Compound::DB00369
251,Compound::DB00370
252,Compound::DB00371
253,Compound::DB00373
254,Compound::DB00374
255,Compound::DB00375
256,Compound::DB00376
257,Compound::DB00377
258,Compound::DB00378
259,Compound::DB00379
260,Compound::DB00380
261,Compound::DB00381
262,Compound::DB00383
263,Compound::DB00384
264,Compound::DB00385
265,Compound::DB00387
266,Compound::DB00388
267,Compound::DB00389
268,Compound::DB00390
269,Compound::DB00391
270,Compound::DB00392
271,Compound::DB00393
272,Compound::DB00394
273,Compound::DB00395
274,Compound::DB00396
275,Compound::DB00397
276,Compound::DB00398
277,Compound::DB00399
278,Compound::DB00400
279,Compound::DB00401
280,Compound::DB00402
281,Compound::DB00403
282,Compound::DB00404
283,Compound::DB00405
284,Compound::DB00406
285,Compound::DB00407
286,Compound::DB00408
287,Compound::DB00409
288,Compound::DB00410
289,Compound::DB00411
290,Compound::DB00412
291,Compound::DB00413
292,Compound::DB00415
293,Compound::DB00417
294,Compound::DB00418
295,Compound::DB00419
296,Compound::DB00420
297,Compound::DB00421
298,Compound::DB00422
299,Compound::DB00423
300,Compound::DB00424
301,Compound::DB00425
302,Compound::DB00426
303,Compound::DB00427
304,Compound::DB00428
305,Compound::DB00429
306,Compound::DB00430
307,Compound::DB00431
308,Compound::DB00432
309,Compound::DB00433
310,Compound::DB00434
311,Compound::DB00435
312,Compound::DB00436
313,Compound::DB00437
314,Compound::DB00438
315,Compound::DB00440
316,Compound::DB00441
317,Compound::DB00442
318,Compound::DB00443
319,Compound::DB00444
320,Compound::DB00445
321,Compound::DB00446
322,Compound::DB00448
323,Compound::DB00449
324,Compound::DB00450
325,Compound::DB00451
326,Compound::DB00452
327,Compound::DB00453
328,Compound::DB00454
329,Compound::DB00455
330,Compound::DB00456
331,Compound::DB00457
332,Compound::DB00458
333,Compound::DB00459
334,Compound::DB00460
335,Compound::DB00461
336,Compound::DB00462
337,Compound::DB00464
338,Compound::DB00465
339,Compound::DB00467
340,Compound::DB00468
341,Compound::DB00469
342,Compound::DB00470
343,Compound::DB00471
344,Compound::DB00472
345,Compound::DB00473
346,Compound::DB00474
347,Compound::DB00475
348,Compound::DB00476
349,Compound::DB00477
350,Compound::DB00478
351,Compound::DB00479
352,Compound::DB00480
353,Compound::DB00481
354,Compound::DB00482
355,Compound::DB00483
356,Compound::DB00484
357,Compound::DB00485
358,Compound::DB00486
359,Compound::DB00487
360,Compound::DB00488
361,Compound::DB00489
362,Compound::DB00490
363,Compound::DB00491
364,Compound::DB00492
365,Compound::DB00493
366,Compound::DB00494
367,Compound::DB00495
368,Compound::DB00496
369,Compound::DB00497
370,Compound::DB00498
371,Compound::DB00499
372,Compound::DB00500
373,Compound::DB00501
374,Compound::DB00502
375,Compound::DB00503
376,Compound::DB00504
377,Compound::DB00507
378,Compound::DB00508
379,Compound::DB00509
380,Compound::DB00511
381,Compound::DB00512
382,Compound::DB00513
383,Compound::DB00514
384,Compound::DB00515
385,Compound::DB00516
386,Compound::DB00517
387,Compound::DB00518
388,Compound::DB00519
389,Compound::DB00520
390,Compound::DB00521
391,Compound::DB00523
392,Compound::DB00524
393,Compound::DB00525
394,Compound::DB00526
395,Compound::DB00527
396,Compound::DB00528
397,Compound::DB00529
398,Compound::DB00530
399,Compound::DB00531
400,Compound::DB00534
401,Compound::DB00535
402,Compound::DB00536
403,Compound::DB00537
404,Compound::DB00538
405,Compound::DB00539
406,Compound::DB00540
407,Compound::DB00541
408,Compound::DB00542
409,Compound::DB00543
410,Compound::DB00544
411,Compound::DB00545
412,Compound::DB00546
413,Compound::DB00547
414,Compound::DB00548
415,Compound::DB00549
416,Compound::DB00550
417,Compound::DB00551
418,Compound::DB00552
419,Compound::DB00553
420,Compound::DB00554
421,Compound::DB00555
422,Compound::DB00556
423,Compound::DB00557
424,Compound::DB00558
425,Compound::DB00559
426,Compound::DB00560
427,Compound::DB00561
428,Compound::DB00562
429,Compound::DB00563
430,Compound::DB00564
431,Compound::DB00565
432,Compound::DB00566
433,Compound::DB00567
434,Compound::DB00568
435,Compound::DB00569
436,Compound::DB00570
437,Compound::DB00571
438,Compound::DB00572
439,Compound::DB00573
440,Compound::DB00575
441,Compound::DB00576
442,Compound::DB00577
443,Compound::DB00578
444,Compound::DB00579
445,Compound::DB00581
446,Compound::DB00582
447,Compound::DB00583
448,Compound::DB00584
449,Compound::DB00585
450,Compound::DB00586
451,Compound::DB00587
452,Compound::DB00588
453,Compound::DB00589
454,Compound::DB00590
455,Compound::DB00591
456,Compound::DB00592
457,Compound::DB00593
458,Compound::DB00594
459,Compound::DB00595
460,Compound::DB00596
461,Compound::DB00597
462,Compound::DB00598
463,Compound::DB00599
464,Compound::DB00600
465,Compound::DB00601
466,Compound::DB00602
467,Compound::DB00603
468,Compound::DB00604
469,Compound::DB00605
470,Compound::DB00606
471,Compound::DB00607
472,Compound::DB00608
473,Compound::DB00609
474,Compound::DB00610
475,Compound::DB00611
476,Compound::DB00612
477,Compound::DB00613
478,Compound::DB00614
479,Compound::DB00615
480,Compound::DB00616
481,Compound::DB00617
482,Compound::DB00618
483,Compound::DB00619
484,Compound::DB00620
485,Compound::DB00621
486,Compound::DB00622
487,Compound::DB00623
488,Compound::DB00624
489,Compound::DB00625
490,Compound::DB00626
491,Compound::DB00627
492,Compound::DB00628
493,Compound::DB00629
494,Compound::DB00630
495,Compound::DB00631
496,Compound::DB00632
497,Compound::DB00633
498,Compound::DB00634
499,Compound::DB00635
500,Compound::DB00636
501,Compound::DB00637
502,Compound::DB00638
503,Compound::DB00639
504,Compound::DB00640
505,Compound::DB00641
506,Compound::DB00642
507,Compound::DB00643
508,Compound::DB00644
509,Compound::DB00645
510,Compound::DB00646
511,Compound::DB00647
512,Compound::DB00648
513,Compound::DB00649
514,Compound::DB00650
515,Compound::DB00651
516,Compound::DB00652
517,Compound::DB00653
518,Compound::DB00654
519,Compound::DB00655
520,Compound::DB00656
521,Compound::DB00657
522,Compound::DB00658
523,Compound::DB00659
524,Compound::DB00660
525,Compound::DB00661
526,Compound::DB00662
527,Compound::DB00663
528,Compound::DB00664
529,Compound::DB00665
530,Compound::DB00666
531,Compound::DB00667
532,Compound::DB00668
533,Compound::DB00669
534,Compound::DB00670
535,Compound::DB00671
536,Compound::DB00672
537,Compound::DB00673
538,Compound::DB00674
539,Compound::DB00675
540,Compound::DB00676
541,Compound::DB00677
542,Compound::DB00678
543,Compound::DB00679
544,Compound::DB00680
545,Compound::DB00681
546,Compound::DB00682
547,Compound::DB00683
548,Compound::DB00684
549,Compound::DB00685
550,Compound::DB00686
551,Compound::DB00687
552,Compound::DB00688
553,Compound::DB00689
554,Compound::DB00690
555,Compound::DB00691
556,Compound::DB00692
557,Compound::DB00693
558,Compound::DB00694
559,Compound::DB00695
560,Compound::DB00696
561,Compound::DB00697
562,Compound::DB00698
563,Compound::DB00699
564,Compound::DB00700
565,Compound::DB00701
566,Compound::DB00703
567,Compound::DB00704
568,Compound::DB00705
569,Compound::DB00706
570,Compound::DB00707
571,Compound::DB00708
572,Compound::DB00709
573,Compound::DB00710
574,Compound::DB00711
575,Compound::DB00712
576,Compound::DB00713
577,Compound::DB00714
578,Compound::DB00715
579,Compound::DB00716
580,Compound::DB00717
581,Compound::DB00718
582,Compound::DB00719
583,Compound::DB00720
584,Compound::DB00721
585,Compound::DB00722
586,Compound::DB00723
587,Compound::DB00724
588,Compound::DB00725
589,Compound::DB00726
590,Compound::DB00727
591,Compound::DB00728
592,Compound::DB00729
593,Compound::DB00730
594,Compound::DB00731
595,Compound::DB00732
596,Compound::DB00733
597,Compound::DB00734
598,Compound::DB00735
599,Compound::DB00736
600,Compound::DB00737
601,Compound::DB00738
602,Compound::DB00739
603,Compound::DB00740
604,Compound::DB00741
605,Compound::DB00742
606,Compound::DB00743
607,Compound::DB00744
608,Compound::DB00745
609,Compound::DB00746
610,Compound::DB00747
611,Compound::DB00748
612,Compound::DB00749
613,Compound::DB00750
614,Compound::DB00751
615,Compound::DB00752
616,Compound::DB00753
617,Compound::DB00754
618,Compound::DB00755
619,Compound::DB00756
620,Compound::DB00757
621,Compound::DB00758
622,Compound::DB00759
623,Compound::DB00760
624,Compound::DB00761
625,Compound::DB00762
626,Compound::DB00763
627,Compound::DB00764
628,Compound::DB00765
629,Compound::DB00766
630,Compound::DB00768
631,Compound::DB00769
632,Compound::DB00770
633,Compound::DB00771
634,Compound::DB00772
635,Compound::DB00773
636,Compound::DB00774
637,Compound::DB00775
638,Compound::DB00776
639,Compound::DB00777
640,Compound::DB00778
641,Compound::DB00779
642,Compound::DB00780
643,Compound::DB00781
644,Compound::DB00782
645,Compound::DB00783
646,Compound::DB00784
647,Compound::DB00786
648,Compound::DB00787
649,Compound::DB00788
650,Compound::DB00789
651,Compound::DB00790
652,Compound::DB00791
653,Compound::DB00792
654,Compound::DB00793
655,Compound::DB00794
656,Compound::DB00795
657,Compound::DB00796
658,Compound::DB00797
659,Compound::DB00798
660,Compound::DB00799
661,Compound::DB00800
662,Compound::DB00801
663,Compound::DB00802
664,Compound::DB00803
665,Compound::DB00804
666,Compound::DB00805
667,Compound::DB00806
668,Compound::DB00807
669,Compound::DB00808
670,Compound::DB00809
671,Compound::DB00810
672,Compound::DB00811
673,Compound::DB00812
674,Compound::DB00813
675,Compound::DB00814
676,Compound::DB00815
677,Compound::DB00816
678,Compound::DB00817
679,Compound::DB00818
680,Compound::DB00819
681,Compound::DB00820
682,Compound::DB00821
683,Compound::DB00822
684,Compound::DB00823
685,Compound::DB00824
686,Compound::DB00825
687,Compound::DB00826
688,Compound::DB00827
689,Compound::DB00828
690,Compound::DB00829
691,Compound::DB00830
692,Compound::DB00831
693,Compound::DB00832
694,Compound::DB00833
695,Compound::DB00834
696,Compound::DB00835
697,Compound::DB00836
698,Compound::DB00837
699,Compound::DB00838
700,Compound::DB00839
701,Compound::DB00841
702,Compound::DB00842
703,Compound::DB00843
704,Compound::DB00844
705,Compound::DB00845
706,Compound::DB00846
707,Compound::DB00847
708,Compound::DB00849
709,Compound::DB00850
710,Compound::DB00851
711,Compound::DB00852
712,Compound::DB00853
713,Compound::DB00854
714,Compound::DB00855
715,Compound::DB00856
716,Compound::DB00857
717,Compound::DB00858
718,Compound::DB00859
719,Compound::DB00860
720,Compound::DB00861
721,Compound::DB00862
722,Compound::DB00863
723,Compound::DB00864
724,Compound::DB00865
725,Compound::DB00866
726,Compound::DB00867
727,Compound::DB00868
728,Compound::DB00869
729,Compound::DB00870
730,Compound::DB00871
731,Compound::DB00872
732,Compound::DB00873
733,Compound::DB00874
734,Compound::DB00875
735,Compound::DB00876
736,Compound::DB00877
737,Compound::DB00878
738,Compound::DB00879
739,Compound::DB00880
740,Compound::DB00881
741,Compound::DB00882
742,Compound::DB00883
743,Compound::DB00884
744,Compound::DB00885
745,Compound::DB00887
746,Compound::DB00888
747,Compound::DB00889
748,Compound::DB00890
749,Compound::DB00891
750,Compound::DB00892
751,Compound::DB00894
752,Compound::DB00895
753,Compound::DB00896
754,Compound::DB00897
755,Compound::DB00898
756,Compound::DB00899
757,Compound::DB00900
758,Compound::DB00902
759,Compound::DB00903
760,Compound::DB00904
761,Compound::DB00905
762,Compound::DB00906
763,Compound::DB00907
764,Compound::DB00908
765,Compound::DB00909
766,Compound::DB00910
767,Compound::DB00911
768,Compound::DB00912
769,Compound::DB00913
770,Compound::DB00914
771,Compound::DB00915
772,Compound::DB00916
773,Compound::DB00917
774,Compound::DB00918
775,Compound::DB00919
776,Compound::DB00920
777,Compound::DB00921
778,Compound::DB00922
779,Compound::DB00923
780,Compound::DB00924
781,Compound::DB00925
782,Compound::DB00927
783,Compound::DB00928
784,Compound::DB00929
785,Compound::DB00931
786,Compound::DB00932
787,Compound::DB00933
788,Compound::DB00934
789,Compound::DB00935
790,Compound::DB00936
791,Compound::DB00937
792,Compound::DB00938
793,Compound::DB00939
794,Compound::DB00940
795,Compound::DB00941
796,Compound::DB00942
797,Compound::DB00943
798,Compound::DB00944
799,Compound::DB00945
800,Compound::DB00946
801,Compound::DB00947
802,Compound::DB00948
803,Compound::DB00949
804,Compound::DB00950
805,Compound::DB00951
806,Compound::DB00952
807,Compound::DB00953
808,Compound::DB00954
809,Compound::DB00955
810,Compound::DB00956
811,Compound::DB00957
812,Compound::DB00958
813,Compound::DB00959
814,Compound::DB00960
815,Compound::DB00961
816,Compound::DB00962
817,Compound::DB00963
818,Compound::DB00964
819,Compound::DB00966
820,Compound::DB00967
821,Compound::DB00968
822,Compound::DB00969
823,Compound::DB00970
824,Compound::DB00971
825,Compound::DB00972
826,Compound::DB00973
827,Compound::DB00974
828,Compound::DB00975
829,Compound::DB00976
830,Compound::DB00977
831,Compound::DB00978
832,Compound::DB00979
833,Compound::DB00980
834,Compound::DB00981
835,Compound::DB00982
836,Compound::DB00983
837,Compound::DB00984
838,Compound::DB00985
839,Compound::DB00986
840,Compound::DB00987
841,Compound::DB00988
842,Compound::DB00989
843,Compound::DB00990
844,Compound::DB00991
845,Compound::DB00992
846,Compound::DB00993
847,Compound::DB00994
848,Compound::DB00995
849,Compound::DB00996
850,Compound::DB00997
851,Compound::DB00998
852,Compound::DB00999
853,Compound::DB01000
854,Compound::DB01001
855,Compound::DB01002
856,Compound::DB01003
857,Compound::DB01004
858,Compound::DB01005
859,Compound::DB01006
860,Compound::DB01007
861,Compound::DB01008
862,Compound::DB01009
863,Compound::DB01010
864,Compound::DB01011
865,Compound::DB01012
866,Compound::DB01013
867,Compound::DB01014
868,Compound::DB01015
869,Compound::DB01016
870,Compound::DB01017
871,Compound::DB01018
872,Compound::DB01019
873,Compound::DB01020
874,Compound::DB01021
875,Compound::DB01022
876,Compound::DB01023
877,Compound::DB01024
878,Compound::DB01025
879,Compound::DB01026
880,Compound::DB01028
881,Compound::DB01029
882,Compound::DB01030
883,Compound::DB01031
884,Compound::DB01032
885,Compound::DB01033
886,Compound::DB01034
887,Compound::DB01035
888,Compound::DB01036
889,Compound::DB01037
890,Compound::DB01039
891,Compound::DB01040
892,Compound::DB01041
893,Compound::DB01042
894,Compound::DB01043
895,Compound::DB01044
896,Compound::DB01045
897,Compound::DB01046
898,Compound::DB01047
899,Compound::DB01048
900,Compound::DB01049
901,Compound::DB01050
902,Compound::DB01051
903,Compound::DB01053
904,Compound::DB01054
905,Compound::DB01055
906,Compound::DB01056
907,Compound::DB01057
908,Compound::DB01058
909,Compound::DB01059
910,Compound::DB01060
911,Compound::DB01061
912,Compound::DB01062
913,Compound::DB01063
914,Compound::DB01064
915,Compound::DB01065
916,Compound::DB01066
917,Compound::DB01067
918,Compound::DB01068
919,Compound::DB01069
920,Compound::DB01070
921,Compound::DB01071
922,Compound::DB01072
923,Compound::DB01073
924,Compound::DB01074
925,Compound::DB01075
926,Compound::DB01076
927,Compound::DB01077
928,Compound::DB01078
929,Compound::DB01080
930,Compound::DB01081
931,Compound::DB01082
932,Compound::DB01083
933,Compound::DB01084
934,Compound::DB01085
935,Compound::DB01086
936,Compound::DB01087
937,Compound::DB01088
938,Compound::DB01089
939,Compound::DB01090
940,Compound::DB01091
941,Compound::DB01092
942,Compound::DB01093
943,Compound::DB01094
944,Compound::DB01095
945,Compound::DB01096
946,Compound::DB01097
947,Compound::DB01098
948,Compound::DB01099
949,Compound::DB01100
950,Compound::DB01101
951,Compound::DB01102
952,Compound::DB01103
953,Compound::DB01104
954,Compound::DB01105
955,Compound::DB01106
956,Compound::DB01107
957,Compound::DB01108
958,Compound::DB01110
959,Compound::DB01111
960,Compound::DB01112
961,Compound::DB01113
962,Compound::DB01114
963,Compound::DB01115
964,Compound::DB01116
965,Compound::DB01117
966,Compound::DB01118
967,Compound::DB01119
968,Compound::DB01120
969,Compound::DB01121
970,Compound::DB01122
971,Compound::DB01123
972,Compound::DB01124
973,Compound::DB01125
974,Compound::DB01126
975,Compound::DB01127
976,Compound::DB01128
977,Compound::DB01129
978,Compound::DB01130
979,Compound::DB01131
980,Compound::DB01132
981,Compound::DB01133
982,Compound::DB01135
983,Compound::DB01136
984,Compound::DB01137
985,Compound::DB01138
986,Compound::DB01139
987,Compound::DB01140
988,Compound::DB01141
989,Compound::DB01142
990,Compound::DB01143
991,Compound::DB01144
992,Compound::DB01145
993,Compound::DB01146
994,Compound::DB01147
995,Compound::DB01148
996,Compound::DB01149
997,Compound::DB01150
998,Compound::DB01151
999,Compound::DB01153
1000,Compound::DB01154
1001,Compound::DB01155
1002,Compound::DB01156
1003,Compound::DB01157
1004,Compound::DB01158
1005,Compound::DB01159
1006,Compound::DB01160
1007,Compound::DB01161
1008,Compound::DB01162
1009,Compound::DB01164
1010,Compound::DB01165
1011,Compound::DB01166
1012,Compound::DB01167
1013,Compound::DB01168
1014,Compound::DB01169
1015,Compound::DB01170
1016,Compound::DB01171
1017,Compound::DB01172
1018,Compound::DB01173
1019,Compound::DB01174
1020,Compound::DB01175
1021,Compound::DB01176
1022,Compound::DB01177
1023,Compound::DB01178
1024,Compound::DB01179
1025,Compound::DB01180
1026,Compound::DB01181
1027,Compound::DB01182
1028,Compound::DB01183
1029,Compound::DB01184
1030,Compound::DB01185
1031,Compound::DB01186
1032,Compound::DB01187
1033,Compound::DB01188
1034,Compound::DB01189
1035,Compound::DB01190
1036,Compound::DB01191
1037,Compound::DB01192
1038,Compound::DB01193
1039,Compound::DB01194
1040,Compound::DB01195
1041,Compound::DB01196
1042,Compound::DB01197
1043,Compound::DB01198
1044,Compound::DB01199
1045,Compound::DB01200
1046,Compound::DB01201
1047,Compound::DB01202
1048,Compound::DB01203
1049,Compound::DB01204
1050,Compound::DB01205
1051,Compound::DB01206
1052,Compound::DB01207
1053,Compound::DB01208
1054,Compound::DB01209
1055,Compound::DB01210
1056,Compound::DB01211
1057,Compound::DB01212
1058,Compound::DB01213
1059,Compound::DB01214
1060,Compound::DB01215
1061,Compound::DB01216
1062,Compound::DB01217
1063,Compound::DB01218
1064,Compound::DB01219
1065,Compound::DB01220
1066,Compound::DB01221
1067,Compound::DB01222
1068,Compound::DB01223
1069,Compound::DB01224
1070,Compound::DB01225
1071,Compound::DB01226
1072,Compound::DB01227
1073,Compound::DB01228
1074,Compound::DB01229
1075,Compound::DB01231
1076,Compound::DB01232
1077,Compound::DB01233
1078,Compound::DB01234
1079,Compound::DB01235
1080,Compound::DB01236
1081,Compound::DB01237
1082,Compound::DB01238
1083,Compound::DB01239
1084,Compound::DB01240
1085,Compound::DB01241
1086,Compound::DB01242
1087,Compound::DB01243
1088,Compound::DB01244
1089,Compound::DB01245
1090,Compound::DB01246
1091,Compound::DB01247
1092,Compound::DB01248
1093,Compound::DB01249
1094,Compound::DB01250
1095,Compound::DB01251
1096,Compound::DB01252
1097,Compound::DB01253
1098,Compound::DB01254
1099,Compound::DB01255
1100,Compound::DB01256
1101,Compound::DB01259
1102,Compound::DB01260
1103,Compound::DB01261
1104,Compound::DB01262
1105,Compound::DB01263
1106,Compound::DB01264
1107,Compound::DB01265
1108,Compound::DB01267
1109,Compound::DB01268
1110,Compound::DB01273
1111,Compound::DB01274
1112,Compound::DB01275
1113,Compound::DB01280
1114,Compound::DB01282
1115,Compound::DB01283
1116,Compound::DB01288
1117,Compound::DB01289
1118,Compound::DB01291
1119,Compound::DB01294
1120,Compound::DB01295
1121,Compound::DB01296
1122,Compound::DB01297
1123,Compound::DB01298
1124,Compound::DB01299
1125,Compound::DB01301
1126,Compound::DB01303
1127,Compound::DB01319
1128,Compound::DB01320
1129,Compound::DB01321
1130,Compound::DB01324
1131,Compound::DB01325
1132,Compound::DB01326
1133,Compound::DB01327
1134,Compound::DB01328
1135,Compound::DB01329
1136,Compound::DB01330
1137,Compound::DB01331
1138,Compound::DB01332
1139,Compound::DB01333
1140,Compound::DB01336
1141,Compound::DB01337
1142,Compound::DB01338
1143,Compound::DB01339
1144,Compound::DB01340
1145,Compound::DB01342
1146,Compound::DB01346
1147,Compound::DB01347
1148,Compound::DB01348
1149,Compound::DB01349
1150,Compound::DB01351
1151,Compound::DB01352
1152,Compound::DB01353
1153,Compound::DB01354
1154,Compound::DB01355
1155,Compound::DB01356
1156,Compound::DB01357
1157,Compound::DB01359
1158,Compound::DB01361
1159,Compound::DB01362
1160,Compound::DB01364
1161,Compound::DB01365
1162,Compound::DB01366
1163,Compound::DB01367
1164,Compound::DB01369
1165,Compound::DB01370
1166,Compound::DB01375
1167,Compound::DB01377
1168,Compound::DB01380
1169,Compound::DB01382
1170,Compound::DB01384
1171,Compound::DB01390
1172,Compound::DB01392
1173,Compound::DB01393
1174,Compound::DB01394
1175,Compound::DB01395
1176,Compound::DB01396
1177,Compound::DB01397
1178,Compound::DB01398
1179,Compound::DB01399
1180,Compound::DB01400
1181,Compound::DB01401
1182,Compound::DB01403
1183,Compound::DB01406
1184,Compound::DB01407
1185,Compound::DB01408
1186,Compound::DB01409
1187,Compound::DB01410
1188,Compound::DB01411
1189,Compound::DB01412
1190,Compound::DB01413
1191,Compound::DB01414
1192,Compound::DB01415
1193,Compound::DB01416
1194,Compound::DB01418
1195,Compound::DB01419
1196,Compound::DB01420
1197,Compound::DB01421
1198,Compound::DB01422
1199,Compound::DB01423
1200,Compound::DB01424
1201,Compound::DB01425
1202,Compound::DB01426
1203,Compound::DB01427
1204,Compound::DB01428
1205,Compound::DB01429
1206,Compound::DB01430
1207,Compound::DB01431
1208,Compound::DB01433
1209,Compound::DB01435
1210,Compound::DB01436
1211,Compound::DB01437
1212,Compound::DB01438
1213,Compound::DB01440
1214,Compound::DB01452
1215,Compound::DB01463
1216,Compound::DB01466
1217,Compound::DB01482
1218,Compound::DB01489
1219,Compound::DB01501
1220,Compound::DB01511
1221,Compound::DB01544
1222,Compound::DB01545
1223,Compound::DB01550
1224,Compound::DB01551
1225,Compound::DB01553
1226,Compound::DB01558
1227,Compound::DB01559
1228,Compound::DB01567
1229,Compound::DB01576
1230,Compound::DB01577
1231,Compound::DB01578
1232,Compound::DB01579
1233,Compound::DB01580
1234,Compound::DB01581
1235,Compound::DB01582
1236,Compound::DB01583
1237,Compound::DB01586
1238,Compound::DB01587
1239,Compound::DB01588
1240,Compound::DB01589
1241,Compound::DB01590
1242,Compound::DB01591
1243,Compound::DB01592
1244,Compound::DB01593
1245,Compound::DB01594
1246,Compound::DB01595
1247,Compound::DB01597
