edge_id,source,target,edge_type,effect_sign,effect_size,activation_frequency,mechanistic_confidence,evidence_weight
e000023,reg__MMP1,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000024,reg__PRKCQ,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000025,bind__ESR1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000026,bind__SLC22A3,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000027,bind__PDE4B,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000028,reg__ID2,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000029,bind__MPO,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000030,reg__PRKCQ,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000031,bind__DRD3,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000032,reg__RGS2,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000033,reg__CCL2,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000034,reg__DUSP6,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000035,reg__MRPS7,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000036,bind__AGTR1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000037,reg__AGR2,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000038,bind__MPO,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000039,reg__CTSD,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000040,bind__PTGS2,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000041,reg__PTGS2,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000042,reg__HSPD1,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000043,reg__PARP1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000044,bind__HTR1D,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000045,reg__FABP5,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000046,bind__CYP4A11,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000047,reg__MIF,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000048,reg__NME1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000049,bind__ADRB2,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000050,reg__ADRB2,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000051,bind__CYP17A1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000052,reg__PARP1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000053,reg__CDKN1A,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000054,reg__BRCA1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000055,bind__HTR6,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000056,bind__ADRB2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000057,reg__ADRB2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000058,reg__NFKBIA,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000059,bind__ALOX5,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000060,bind__PDE3A,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000061,reg__IL1B,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000062,reg__PGM1,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000063,bind__CYP1B1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000064,reg__CBLB,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000065,bind__SCN1A,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000066,reg__BIRC5,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000067,bind__ABCC3,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000068,bind__BCHE,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000069,reg__IL1B,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000070,reg__C5,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000071,reg__LPL,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000072,reg__CDKN1A,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000073,reg__ATP1B1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000074,reg__MMP1,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000075,reg__ICAM1,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000076,bind__XDH,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000077,bind__AOX1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000078,reg__GADD45A,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000079,reg__CDK4,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000080,reg__LPL,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000081,reg__PHGDH,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000082,reg__LIPA,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000083,bind__ADRA1A,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000084,reg__ERBB2,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000085,bind__CYP1A1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000086,bind__ABL1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000087,bind__OPRD1,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000088,reg__ELAC2,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000089,reg__AURKA,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000090,bind__PDE4B,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000091,reg__DDIT3,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000092,reg__IKBKB,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000093,bind__SLC22A1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000094,reg__RHOA,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000095,bind__CYP2C19,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000096,reg__LPL,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000097,bind__HTR2C,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000098,reg__MYC,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000099,reg__SMC1A,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000100,reg__MIF,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000101,bind__CALM1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000102,bind__GABRB2,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000103,reg__MMP1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000104,reg__IKZF1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000105,reg__CCND3,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000106,reg__EGF,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000107,bind__TOP2A,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000108,reg__TOP2A,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000109,bind__SLC6A2,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000110,reg__TLR4,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000111,reg__JUN,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000112,reg__PARP1,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000113,bind__ABCG2,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000114,bind__PDE4D,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000115,reg__CHEK2,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000116,reg__HSPA8,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000117,reg__GJA1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000118,bind__ACE,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000119,bind__CHRNA7,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000120,bind__PTGS1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000121,bind__TOP2A,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000122,reg__TOP2A,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000123,reg__HADH,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000124,reg__EGR1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000125,reg__ATF3,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000126,bind__HTR3A,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000127,reg__CCL2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000128,bind__SLC18A2,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000129,bind__ACE,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000130,bind__CA9,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000131,bind__AGTR1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000132,bind__HTR2A,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000133,reg__ICAM1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000134,reg__PHGDH,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000135,bind__CYP3A5,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000136,reg__CEBPD,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000137,reg__ERBB3,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000138,reg__PTPRK,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000139,reg__COG2,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000140,reg__LDLR,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000141,reg__CDK6,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000142,bind__PTGS2,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000143,reg__PTGS2,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000144,bind__ALOX5,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000145,reg__NFKBIA,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000146,bind__COMT,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000147,bind__CYP1A2,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000148,bind__ATP1A1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000149,bind__PTGS2,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000150,reg__PTGS2,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000151,reg__TLR4,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000152,reg__AURKA,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000153,bind__HRH2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000154,bind__COMT,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000155,reg__CDKN1B,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000156,reg__IL1B,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000157,reg__BIRC5,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000158,reg__BRCA1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000159,reg__HSPA1A,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000160,reg__SNAP25,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000161,reg__SERPINE1,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000162,bind__ESR2,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000163,bind__ABCG2,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000164,reg__RGS2,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000165,bind__CYP2D6,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000166,bind__UGT1A1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000167,bind__CYP2C19,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000168,reg__PIN1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000169,bind__ACE,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000170,reg__MYBL2,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000171,bind__SLC6A4,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000172,bind__HTR1B,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000173,reg__CXCR4,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000174,reg__CSRP1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000175,bind__SLC15A2,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000176,reg__MIF,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000177,reg__GHR,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000178,bind__ABCB1,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000179,bind__PTGS2,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000180,reg__PTGS2,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000181,bind__ALB,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000182,bind__DRD3,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000183,reg__EGR1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000184,reg__DECR1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000185,reg__IL1B,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000186,bind__SLC12A1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000187,bind__HTR7,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000188,reg__CDKN1B,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000189,bind__NR3C1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000190,reg__PRKCD,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000191,reg__DNMT3A,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000192,reg__FHL2,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000193,reg__CXCL2,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000194,bind__SLC6A4,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000195,bind__AGTR1,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000196,bind__CYP3A4,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000197,reg__CXCL2,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000198,bind__BCHE,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000199,bind__ADORA1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000200,bind__CHRM1,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000201,reg__TLE1,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000202,reg__HDAC2,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000203,bind__PTGS2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000204,reg__PTGS2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000205,bind__MPO,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000206,reg__CDK4,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000207,reg__KIT,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000208,reg__MIF,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000209,bind__PGR,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000210,bind__AR,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000211,reg__PTPRK,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000212,bind__CA9,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000213,bind__SLC22A3,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000214,reg__UBE2C,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000215,reg__CDKN1A,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000216,reg__SERPINA3,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000217,bind__NR3C1,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000218,reg__FHL2,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000219,bind__ADRA2B,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000220,bind__ALB,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000221,bind__ESR1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000222,bind__ESR1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000223,bind__ESR1,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000224,reg__BNIP3,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000225,reg__BIRC5,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000226,reg__EGF,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000227,bind__CYP1A1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000228,reg__SERPINE1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000229,bind__CYP19A1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000230,reg__CCL2,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000231,reg__SERPINE1,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000232,reg__PARP1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000233,bind__CA9,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000234,reg__GDF15,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000235,reg__EIF4EBP1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000236,reg__CEBPD,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000237,reg__ICAM1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000238,reg__MAL,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000239,bind__SLCO1B1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000240,bind__PDE3A,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000241,bind__GRIK2,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000242,bind__PDE4D,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000243,bind__NR3C1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000244,reg__ICAM1,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000245,reg__HMOX1,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000246,bind__DRD1,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000247,bind__KCNJ11,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000248,reg__PNP,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000249,reg__DNMT3A,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000250,bind__HTR2A,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000251,reg__HSPD1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000252,reg__IGFBP3,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000253,reg__CDKN1A,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000254,reg__SERPINE1,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000255,reg__GDF15,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000256,reg__HMOX1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000257,reg__GPER1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000258,bind__HTR2C,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000259,reg__SERPINE1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000260,bind__ESR2,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000261,reg__IL1B,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000262,reg__C5,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000263,reg__NFKBIA,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000264,bind__NR3C2,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000265,reg__PAK1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000266,bind__CACNB2,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000267,reg__CDK6,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000268,reg__IGFBP3,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000269,reg__HMOX1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000270,bind__HTR1B,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000271,bind__PTGS2,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000272,reg__PTGS2,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000273,bind__ESR1,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000274,reg__KIT,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000275,reg__COG2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000276,bind__DRD2,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000277,reg__HLA-DRA,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000278,bind__PTGS1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000279,bind__AR,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000280,reg__BNIP3,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000281,bind__ADRB2,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000282,reg__ADRB2,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000283,bind__CHRFAM7A,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000284,bind__NR3C1,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000285,reg__ATP1B1,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000286,bind__HTR7,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000287,bind__ABL1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000288,bind__ALB,ep__multiple sclerosis,DaG,1,0.5,0.5,1.0,1.0
e000289,reg__HMOX1,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000290,bind__SCN2A,ep__migraine,DaG,1,0.5,0.5,1.0,1.0
e000291,bind__HTR3A,ep__schizophrenia,DaG,1,0.5,0.5,1.0,1.0
e000292,bind__ADORA1,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000293,bind__CYP2C18,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000294,bind__CYP19A1,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000295,bind__HTR1B,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000296,reg__ITGAE,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000297,reg__PLCB3,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000298,reg__NOTCH1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000299,reg__PMAIP1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000300,reg__HDAC6,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000301,bind__CYP3A5,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000302,reg__EZH2,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000303,bind__ALB,ep__hypertension,DaG,1,0.5,0.5,1.0,1.0
e000304,reg__ERBB2,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000305,reg__CXCL2,ep__coronary artery disease,DaG,1,0.5,0.5,1.0,1.0
e000306,bind__HRH4,ep__asthma,DaG,1,0.5,0.5,1.0,1.0
e000307,bind__CYP3A43,ep__prostate cancer,DaG,1,0.5,0.5,1.0,1.0
e000308,reg__HIST1H2BK,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
e000309,reg__PER1,ep__hematologic cancer,DaG,1,0.5,0.5,1.0,1.0
e000310,reg__CCL2,ep__rheumatoid arthritis,DaG,1,0.5,0.5,1.0,1.0
e000311,bind__PGR,ep__breast cancer,DaG,1,0.5,0.5,1.0,1.0
