node,node_type,layer,is_endpoint,is_latent,is_rare_signal,recommended_use,value_type,severity_weight,observability,rarity_weight,node_priority_weight
se__Gastrointestinal disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Decreased appetite,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dyspepsia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Somnolence,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dyspnoea,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Paraesthesia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Insomnia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Musculoskeletal discomfort,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypotension,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Anorexia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hyperhidrosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Skin disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Tachycardia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Thrombocytopenia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nervous system disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Shock,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Infection,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Anaphylactic shock,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Oedema,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Confusional state,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dry mouth,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Discomfort,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Unspecified disorder of skin and subcutaneous tissue,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Anxiety,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Chest pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Arthralgia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Myalgia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypertension,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Convulsion,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cough,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Loss of consciousness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Palpitations,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Leukopenia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Syncope,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Vertigo,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Malaise,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Angioedema,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Agitation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Anaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ill-defined disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Tremor,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Vision blurred,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Muscle spasms,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Back pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nervousness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dysgeusia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Tension,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Flatulence,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Erythema,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Malnutrition,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Mental disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Alopecia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Arrhythmia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Chills,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Mediastinal disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Immune system disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Angiopathy,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cardiac disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Flushing,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Tinnitus,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Eye disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Erythema multiforme,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Visual impairment,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Urethral disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Connective tissue disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Oedema peripheral,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Urinary tract disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pharyngitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypoaesthesia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hallucination,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hepatitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Haemorrhage,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Rhinitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Haemoglobin,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Bradycardia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Agranulocytosis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sinusitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Epistaxis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hepatobiliary disease,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Haematuria,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sweating,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Urinary tract infection,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Conjunctivitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Stomatitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Jaundice,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Myocardial infarction,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Neuropathy peripheral,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Renal failure,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Acute coronary syndrome,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Stevens-Johnson syndrome,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Depression,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Infestation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Infestation NOS,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Drowsiness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pneumonia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hyperglycaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Weight decreased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Weight increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Photosensitivity reaction,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Erectile dysfunction,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pollakiuria,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Upper respiratory tract infection,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dysuria,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Neutropenia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pancytopenia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Abdominal discomfort,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Bronchitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Angina pectoris,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sweating increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pancreatitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Bronchospasm,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Eosinophilia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Influenza,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Asthma,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dysphagia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Abdominal distension,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Muscular weakness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Alanine aminotransferase increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Gastritis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nasopharyngitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Toxic epidermal necrolysis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cramp muscle,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Aspartate aminotransferase increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Breast disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypokalaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Orthostatic hypotension,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Abdominal pain upper,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dry skin,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Liver function test abnormal,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dehydration,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Blood creatinine increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ataxia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Mood swings,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Urinary retention,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cardiac arrest,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Irritability,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Face oedema,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Psychotic disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Migraine,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Affect lability,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Disturbance in sexual arousal,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Pain in extremity,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Gastrointestinal haemorrhage,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Diplopia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Osteoarthritis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hyponatraemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cerebrovascular accident,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Lethargy,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypoglycaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cardiac failure,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Arthritis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Anaphylactoid reaction,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Purpura,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dermatitis bullous,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Renal impairment,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Thirst,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Visual disturbance,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Atrial fibrillation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Dermatitis exfoliative,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Menopausal symptoms,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Increased appetite,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Amnesia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hot flush,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Libido decreased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Renal failure acute,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Injury,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Nasal congestion,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Cardiac failure congestive,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Haemolytic anaemia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Eye pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hepatic failure,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Eczema,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Disorientation,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Deafness,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Vascular purpura,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Gastroenteritis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Swelling,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Photosensitivity,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Polyuria,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hepatic function abnormal,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Blood alkaline phosphatase increased,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Diabetes mellitus,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sleep disorder,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Thrombophlebitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Phlebitis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Ear pain,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Lymphadenopathy,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Euphoric mood,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Sepsis,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Mental disability,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hyperkinesia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Abnormal vision,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
se__Hypertonia,drug_exposure,2_drug_exposure,False,False,False,feature_or_target,binary,1.0,1.0,1.0,1.0
